Gene	Rep1	Rep2	Rep3	Rep4	Rep5
Stat3	30.6983	23.6518	11.2462	12.7953	5.5838
Esrrb	149.918	45.2643	16.0648	12.8061	7.1696
Tbx3	51.5449	12.6377	1.6401	0.9936	0.8026
Klf4	92.6984	23.2902	4.3169	3.2528	1.5183
Jak3	23.0538	9.2869	4.2917	2.716	1.573
Jak1	16.5644	13.3064	9.0041	8.7357	11.6827
Isl1	0.7302	0.7949	0.4047	0.4045	0.3416
Lifr	9.5493	16.9646	6.6919	4.547	1.448
Akt2	32.5781	22.5693	20.3314	21.0766	19.2192
Fgfr4	0.5193	0.4693	0.4347	0.5124	0.3354
Fzd5	12.3611	11.9823	3.8006	3.0379	3.0067
Sox2	247.53	151.469	77.7454	46.693	35.1267
Acvr1b	17.4229	5.4427	5.578	6.8998	7.6569
Nanog	227.054	46.5164	9.1829	6.4504	21.6918
Il6st	27.4106	13.4645	6.5816	7.0772	5.2691
Inhbb	3.7791	0.577	0.064	0.199	0.0449
Map2k1	70.5979	53.1927	52.0392	46.0913	48.4902
Wnt11	0.2414	0.0406	0	0.158	0.1043
Dvl2	25.8045	24.0504	24.5131	23.3798	22.3723
Id4	7.9477	1.0348	0.5374	0.5224	0.3267
Pou5f1	199.269	278.894	216.965	205.417	138.866
Fzd9	1.2567	0.8963	0.5296	0.8258	1.0433
Hoxa1	2.5171	0.2306	0.1776	0.1737	0.7981
Wnt3a	0.1134	0.0196	0	0.0272	0.0431
Hoxd1	0	0	0.0802	0.042	0
Dvl3	11.2166	9.2446	6.4004	8.0405	8.2944
Inhbe	0.3453	0.3369	0.2391	0.2112	0.0615
Smad9	0.7527	0.1105	0.1369	0.1036	0.0582
Fzd10	17.7905	3.2176	0.7674	0.7814	0.9472
Grb2	48.7114	55.8799	44.0641	34.6004	30.0271
Bmp4	0.8404	6.1113	3.0424	1.7324	1.4825
Rest	39.7354	38.3883	29.4399	23.0621	21.2826
Inhba	7.9355	0.9796	0.3438	0.2802	0.4906
Setdb1	34.9991	36.7398	26.5187	25.2216	23.0088
Pcgf2	36.228	30.3839	37.6704	37.8931	34.9729
Wnt2	0.1446	0	0	0.25	0
Mapk1	85.524	107.247	93.1846	85.958	86.2738
